Furnace_temperature;Exist_temperature;Annealing_temperature;Thickness;Width;Sulfur_content;Copper_content;Nickel_content;Chromium_content;Molybdenum_content;Vanadium_content;Niobium_content;Total_Al_content;Acid_soluble_Al_content;Titanium_content;Boron_content;Tin_content;Arsenic_content;Zirconium_content;Calcium_content;Lead_content;Ceq;Pcm;Antimony_content;Nitrogen_content;Oxygen_content;Tungsten_content;yield-strength;tensile-strength;elongation
1180;873;578;2.75;1090;0.0098;0.0127;0.006;0.0115;0.0014;0.0001;0.0001;0.0248;0.02;0.0003;0.0001;0.001;0.0029;0.0012;0.0013;0.0002;0.1199;0.0849;0.0003;0.002;0.0;0.0;271;371;47.5
1206;841;545;4.0;1170;0.0087;0.2601;0.0762;0.3268;0.0016;0.0024;0.0001;0.03;0.0256;0.0029;0.0005;0.0048;0.0029;0.0;0.0004;0.0001;0.24;0.15;0.002;0.0;0.0;0.0;402;522;36.0
1177;826;561;7.5;1250;0.0095;0.0107;0.0049;0.0092;0.0018;0.0003;0.0001;0.0324;0.0281;0.0006;0.0001;0.0023;0.0027;0.0013;0.0006;0.0014;0.211;0.1632;0.0008;0.003;0.0;0.0;347;424;31.0
1246;867;593;2.0;1020;0.0074;0.0159;0.0104;0.0342;0.0028;0.0003;0.0009;0.037;0.0361;0.0009;0.0001;0.0024;0.0031;0.0024;0.0006;0.0023;0.2383;0.1278;0.0017;0.004;0.0;0.0;362;450;40.0
1170;873;627;2.5;1015;0.0143;0.0124;0.006;0.0124;0.0014;0.0001;0.0001;0.0292;0.0283;0.0001;0.0;0.0005;0.0022;0.0008;0.0007;0.0002;0.0694;0.046;0.0003;0.0;0.0;0.0;245;337;53.5
1233;824;556;3.0;1360;0.0039;0.0133;0.0052;0.0152;0.0005;0.0007;0.0041;0.0289;0.0267;0.03;0.0002;0.0013;0.0027;0.0044;0.0008;0.0001;0.2917;0.1873;0.0008;0.004;0.0;0.0;525;606;34.0
1214;834;482;5.0;1000;0.0033;0.0148;0.0084;0.0208;0.0001;0.0003;0.0023;0.0338;0.0318;0.0201;0.0002;0.0033;0.0029;0.0045;0.0007;0.0001;0.37;0.26;0.0009;0.006;0.0;0.0;474;595;29.0
1191;911;681;3.5;913;0.007;0.0102;0.0088;0.0138;0.0012;0.0001;0.0001;0.0229;0.0208;0.0515;0.0;0.0014;0.0024;0.0;0.0001;0.0001;0.02;0.01;0.0018;0.002;0.003;0.0;157;272;46.0
1193;840;558;5.75;1500;0.0022;0.0102;0.0059;0.0141;0.0033;0.0016;0.0125;0.0371;0.0347;0.0297;0.0002;0.0014;0.0037;0.0012;0.0016;0.0051;0.2959;0.1917;0.0006;0.003;0.0;0.0;498;576;26.5
1212;877;615;2.0;1212;0.0076;0.0146;0.0046;0.0131;0.0025;0.0005;0.0009;0.0334;0.0307;0.0001;0.0016;0.0015;0.0045;0.0011;0.0007;0.0006;0.0642;0.0514;0.0008;0.002;0.002;0.0;242;324;38.0
1166;867;590;2.75;1010;0.0028;0.0121;0.009;0.0206;0.0019;0.0001;0.0177;0.0278;0.0247;0.018;0.0004;0.002;0.0028;0.0015;0.0006;0.0007;0.29;0.19;0.0001;0.009;0.0;0.0;263;346;43.5
1226;837;583;3.5;1250;0.011;0.01;0.0049;0.0127;0.0022;0.0001;0.0001;0.0312;0.0262;0.0003;0.0001;0.0004;0.0024;0.0004;0.0003;0.0018;0.1542;0.1129;0.0001;0.002;0.0;0.0;317;408;41.0
1257;875;571;1.8;1200;0.0021;0.0146;0.0073;0.023;0.0014;0.0002;0.0547;0.0267;0.0261;0.0348;0.0001;0.0017;0.003;0.0038;0.0007;0.0044;0.3334;0.1574;0.0012;0.004;0.0;0.0;648;689;14.0
1226;838;591;3.5;1250;0.0068;0.0142;0.008;0.0143;0.001;0.0001;0.0001;0.0274;0.0238;0.0003;0.0;0.0007;0.0029;0.0017;0.0007;0.0001;0.2183;0.1699;0.0001;0.003;0.0;0.0;337;449;40.5
1203;864;583;3.6;1090;0.0038;0.0164;0.0082;0.021;0.0033;0.0005;0.0154;0.0325;0.0292;0.0012;0.0001;0.0016;0.0029;0.0038;0.0011;0.0001;0.2178;0.1166;0.001;0.005;0.0;0.0;434;490;38.5
